"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
2;"Switzerland";"Zürich (ZH)";"Rutschwil (Dägerlen)";"E8.73022";"N47.55653";;
2;"Switzerland";"Zürich (ZH)";"Dägerlen";"E8.72211";"N47.56089";;
2;"Switzerland";"Zürich (ZH)";"Oberwil (Dägerlen)";"E8.71662";"N47.57259";;
2;"Switzerland";"Zürich (ZH)";"Berg (Dägerlen)";"E8.73317";"N47.56371";;
2;"Switzerland";"Zürich (ZH)";"Bänk (Dägerlen)";"E8.73920";"N47.54837";;
2;"Switzerland";"Zürich (ZH)";"Dättlikon";"E8.62416";"N47.52488";;
2;"Switzerland";"Zürich (ZH)";"Dinhard";"E8.76829";"N47.55520";;
2;"Switzerland";"Zürich (ZH)";"Ellikon an der Thur";"E8.82541";"N47.56201";;
2;"Switzerland";"Zürich (ZH)";"Elsau";"E8.80251";"N47.50615";;
2;"Switzerland";"Zürich (ZH)";"Hagenbuch ZH";"E8.88783";"N47.52101";;
2;"Switzerland";"Zürich (ZH)";"Hettlingen";"E8.70811";"N47.54838";;
2;"Switzerland";"Zürich (ZH)";"Aesch (Neftenbach)";"E8.67936";"N47.54127";;
2;"Switzerland";"Zürich (ZH)";"Riet (Neftenbach)";"E8.68682";"N47.53646";;
2;"Switzerland";"Zürich (ZH)";"Hünikon (Neftenbach)";"E8.66821";"N47.55214";;
2;"Switzerland";"Zürich (ZH)";"Neftenbach";"E8.66782";"N47.52855";;
2;"Switzerland";"Zürich (ZH)";"Pfungen";"E8.64653";"N47.51587";;
2;"Switzerland";"Zürich (ZH)";"Rickenbach ZH";"E8.79389";"N47.55144";;
2;"Switzerland";"Zürich (ZH)";"Rickenbach Sulz";"E8.78787";"N47.54069";;
2;"Switzerland";"Zürich (ZH)";"Schlatt ZH";"E8.82596";"N47.46795";;
2;"Switzerland";"Zürich (ZH)";"Seuzach";"E8.73836";"N47.53623";;
2;"Switzerland";"Zürich (ZH)";"Turbenthal";"E8.84738";"N47.43516";;
2;"Switzerland";"Zürich (ZH)";"Schmidrüti";"E8.90341";"N47.41481";;
2;"Switzerland";"Zürich (ZH)";"Ricketwil (Winterthur)";"E8.80093";"N47.48593";;
2;"Switzerland";"Zürich (ZH)";"Winterthur";"E8.72954";"N47.49162";;
2;"Switzerland";"Zürich (ZH)";"Reutlingen (Winterthur)";"E8.75133";"N47.52795";;
2;"Switzerland";"Zürich (ZH)";"Stadel (Winterthur)";"E8.76146";"N47.53454";;
2;"Switzerland";"Zürich (ZH)";"Sennhof (Winterthur)";"E8.75802";"N47.46916";;
2;"Switzerland";"Zürich (ZH)";"Kollbrunn";"E8.77662";"N47.45729";;
2;"Switzerland";"Zürich (ZH)";"Rikon im Tösstal";"E8.79677";"N47.44472";;
2;"Switzerland";"Zürich (ZH)";"Zell ZH";"E8.82269";"N47.44852";;
2;"Switzerland";"Zürich (ZH)";"Rämismühle";"E8.81908";"N47.44157";;
2;"Switzerland";"Zürich (ZH)";"Aesch ZH";"E8.43824";"N47.33735";;
2;"Switzerland";"Zürich (ZH)";"Birmensdorf ZH";"E8.44117";"N47.35166";;
2;"Switzerland";"Zürich (ZH)";"Dietikon";"E8.40372";"N47.40491";;
2;"Switzerland";"Zürich (ZH)";"Fahrweid";"E8.41549";"N47.41041";;
2;"Switzerland";"Zürich (ZH)";"Geroldswil";"E8.41037";"N47.42243";;
2;"Switzerland";"Zürich (ZH)";"Oberengstringen";"E8.46235";"N47.40837";;
2;"Switzerland";"Zürich (ZH)";"Oetwil an der Limmat";"E8.39499";"N47.42815";;
2;"Switzerland";"Zürich (ZH)";"Schlieren";"E8.44578";"N47.39660";;
2;"Switzerland";"Zürich (ZH)";"Uitikon Waldegg";"E8.45397";"N47.37085";;
2;"Switzerland";"Zürich (ZH)";"Unterengstringen";"E8.44944";"N47.41332";;
2;"Switzerland";"Zürich (ZH)";"Urdorf";"E8.42375";"N47.38266";;
2;"Switzerland";"Zürich (ZH)";"Weiningen ZH";"E8.43598";"N47.42063";;
2;"Switzerland";"Zürich (ZH)";"Zürich";"E8.54134";"N47.37204";;
2;"Switzerland";"Zürich (ZH)";"Waltalingen";"E8.77891";"N47.62248";;
